doc_id,UMAP1,UMAP2,cluster_kmeans,cluster_hdbscan
347,2.756615186599477,-1.0602442994997878,7,3
348,12.953082824615224,-4.327965237228669,7,0
349,3.41959145155309,4.903288625152312,6,3
350,1.3673588284528095,-3.141168572037019,4,3
351,-0.6044677844965618,-6.029051758377351,4,3
352,3.6465065726315813,0.12653126564761208,7,3
353,-0.6678310981714886,-4.53129432353238,5,3
354,0.3237253078496296,-1.3868942037508865,2,3
355,0.6243609437024433,6.818893931777678,6,3
356,2.4095616587674455,-1.4046060815737624,7,3
357,-0.6405913582766216,-2.3917400613711255,2,3
358,-3.6708070984804793,-1.965637661545076,3,3
359,1.3975224741971333,6.040969394118987,6,3
360,-0.9995061508143108,-3.253242947189607,5,3
361,2.988568092254384,-0.8424070850298782,7,3
362,3.3671791800534563,-3.6564397588656323,7,3
363,2.623197580245717,1.5561233386113267,1,3
364,3.5395527133023577,4.971727870376311,6,3
365,2.475004459289296,-0.9125159755633254,7,3
366,2.086081291106923,-5.6610717550204175,4,3
367,-3.729377006622569,-1.70765159281949,3,3
